ID,Town_Name_EN,Town_Name_CN,District_EN,District_CN,Category,Year,Lat,Long 
1,Klang,巴生市,Klang,巴生縣,市,1643,3.0449,101.4456
2,Pelabuhan Klang,巴生港,Klang,巴生縣,市,1882,2.9999,101.3928
3,Bandar Sultan Sulaiman,蘇丹蘇萊曼市,Klang,巴生縣,市,,3.031,101.3821
4,Shah Alam,莎阿南,Klang,巴生縣,市,2000,3.0733,101.5185
5,Bukit Kemuning,武吉 哥文寧,Klang,巴生縣,鎮,,2.9849,101.524
6,Kapar,加埔,Klang,巴生縣,鎮,,3.1373,101.3744
7,Meru,梅魯,Klang,巴生縣,鎮,1901,3.1334,101.441
8,Pekan Telok Menegun,特魯孟内昆,Klang,巴生縣,鎮,,3.0326,101.4759
9,Pekan Batu Empat,加埔路四英里 ,Klang,巴生縣,鎮,,3.0916,101.3999
10,Pandamaran,班達馬蘭,Klang,巴生縣,鎮,1950,3.0109,101.4208
11,Batu Arang,煤炭山,Gombak,鵝嘜縣,市,,3.319,101.4731
12,Kuang,轟埠,Gombak,鵝嘜縣,市,,3.2588,101.5546
13,Rawang,萬撓,Gombak,鵝嘜縣,市,1823,3.3205,101.5759
14,Gombak Setia,鵝嘜昔迪亞 ,Gombak,鵝嘜縣,市,,3.2182,101.7171
15,Bandar Ulu Kelang,淡江,Gombak,鵝嘜縣,市,,3.1721,101.7593
16,Kepong,甲洞,Gombak,鵝嘜縣,市,,3.214,101.6356
17,Bandar Kundang,根登,Gombak,鵝嘜縣,市,,3.2835,101.5126
18,Bandar Baru Selayang,士拉央,Gombak,鵝嘜縣,市,,3.2637,101.6538
19,Kuala Sungai Buloh,雙溪毛糯,Gombak,鵝嘜縣,市,1930,3.2713,101.298
20,Bandar Sungai Pusu,雙溪布蘇,Gombak,鵝嘜縣,市,,3.257,101.7505
21,Pekan Batu 20,20碑,Gombak,鵝嘜縣,鎮,,3.3367,101.5788
22,Rawang,轟埠,Gombak,鵝嘜縣,鎮,,3.3229,101.5776
23,Pekan Mimaland,美馬高原,Gombak,鵝嘜縣,鎮,,3.2833,101.7241
24,Pekan Pengkalan Kundang,彭加蘭根登,Gombak,鵝嘜縣,鎮,,3.2833,101.516667
25,Pekan Templer,鄧普勒鎮,Gombak,鵝嘜縣,鎮,,3.29916,101.63189
26,Gombak,鹅唛镇,Gombak,鵝嘜縣,鎮,1800s,3.253502,101.653326
27,Cheras,蕉賴 ,Daerah Hulu Langat,烏魯冷岳縣,市,,3.1068,101.7259
28,Bandar Hulu Langat,烏魯冷岳市,Daerah Hulu Langat,烏魯冷岳縣,市,,3.1692,101.8663
29,Kajang,加影,Daerah Hulu Langat,烏魯冷岳縣,市,1807,2.9935,101.7874
30,Semenyih,士毛月,Daerah Hulu Langat,烏魯冷岳縣,市,,2.9474,101.8451
31,Ampang Jaya,安邦,Daerah Hulu Langat,烏魯冷岳縣,市,1857,3.1491,101.7625
32,Country Heights,綠野山莊,Daerah Hulu Langat,烏魯冷岳縣,市,,2.9935,101.7403
33,Balakong,無拉港,Daerah Hulu Langat,烏魯冷岳縣,市,,3.0257,101.7381
34,Bandar Baru Bangi,萬宜新鎮,Daerah Hulu Langat,烏魯冷岳縣,市,,2.9619,101.7571
35,Batu 9 Cheras,蕉賴九英里 ,Daerah Hulu Langat,烏魯冷岳縣,市,,3.075,101.7691
36,Bandar Batu 18, Semenyih,士毛月十八英里,Daerah Hulu Langat,烏魯冷岳縣,市,,2.9744,101.8288
37,Bandar Batu 26, Beranang,峇玲瓏26英里,Daerah Hulu Langat,烏魯冷岳縣,市,,2.8766,101.8544
38,Beranang,峇玲瓏,Daerah Hulu Langat,烏魯冷岳縣,鎮,<1883,2.8688,101.8703
39,Pekan Kacau,加蕉,Daerah Hulu Langat,烏魯冷岳縣,鎮,,,
40,Pekan Tarun,打侖,Daerah Hulu Langat,烏魯冷岳縣,鎮,,2.9381528,101.8508407
41,Bangi,萬宜,Daerah Hulu Langat,烏魯冷岳縣,鎮,1906,2.9198,101.7809
42,Pekan Batu 18, Ulu Langat,呀吃十八英里,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.165,101.848
43,Pekan Batu 23, Sungai Lalang,雙溪拉浪,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.0013,101.8767
44,Bandar Batu 26, Beranang,峇玲瓏26英里,Daerah Hulu Langat,烏魯冷岳縣,鎮,,,
45,Pekan Bukit Sungai Raya,武吉雙溪拉也,Daerah Hulu Langat,烏魯冷岳縣,鎮,,,
46,Cheras,蕉賴 ,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.1068,101.7259
47,Pekan Desa Raya,迪沙拉也,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.101809,101.8032626
48,Pekan Dusun Tua,杜順大,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.1339,101.8336
49,Pekan Kampong Pasir,甘榜巴西,Daerah Hulu Langat,烏魯冷岳縣,鎮,,2.998,101.8734
50,Pekan Kampong Sungai Tangkas,甘榜雙溪登卡斯,Daerah Hulu Langat,烏魯冷岳縣,鎮,,2.9455,101.7897
51,Pekan Rumah Murah Sungai Lui,雙溪鐳廉價屋,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.1517,101.9097
52,Semenyih,士毛月,Daerah Hulu Langat,烏魯冷岳縣,鎮,,2.9474,101.8451
53,Pekan Simpang Balak,新邦峇拉,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.0152,101.7621
54,Pekan Sri Nanding,斯里南寧,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.1002,101.8045
55,Pekan Sungai Kembong Beranang,,Daerah Hulu Langat,烏魯冷岳縣,鎮,,2.887,101.8111
56,Pekan Sungai Lui,雙溪鐳,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.1517,101.9097
57,Pekan Sungai Makau,雙溪馬交,Daerah Hulu Langat,烏魯冷岳縣,鎮,,3.1116,101.8132
58,Bandar Ulu Yam,烏魯音,Hulu Selangor,烏魯雪蘭莪縣,市,,3.425,101.6597
59,Bandar Ulu Yam Baharu,烏魯音峇魯,Hulu Selangor,烏魯雪蘭莪縣,市,,3.428,101.6591
60,Kalumpang,龍邦,Hulu Selangor,烏魯雪蘭莪縣,市,,3.6387,101.573
61,Kuala Kubu Bharu,新古毛,Hulu Selangor,烏魯雪蘭莪縣,市,1780,3.5609,101.6585
62,Bandar Rasa,叻思,Hulu Selangor,烏魯雪蘭莪縣,市,,3.5006,101.6339
63,Serendah,雙文丹,Hulu Selangor,烏魯雪蘭莪縣,市,,3.3639,101.6029
64,Batang Kali,峇冬加里,Hulu Selangor,烏魯雪蘭莪縣,市,,3.4601,101.655
65,Bandar Sungai Chik,雙溪吉,Hulu Selangor,烏魯雪蘭莪縣,市,,3.4235,101.6617
66,Kerling,吉磷,Hulu Selangor,烏魯雪蘭莪縣,鎮,,3.5938,101.6029
67,Pekan Peretak,貝叻達,Hulu Selangor,烏魯雪蘭莪縣,鎮,,3.6059,101.7296
68,Pekan Simpang Sungai Choh,新邦雙溪珠,Hulu Selangor,烏魯雪蘭莪縣,鎮,,3.3443,101.5895
69,Banting,萬津,Kuala Langat ,瓜拉冷岳縣,市,,2.8121,101.5026
70,Jenjarom,仁嘉隆,Kuala Langat ,瓜拉冷岳縣,市,1951,2.8758,101.4985
71,Bandar Sijangkang,昔江港,Kuala Langat ,瓜拉冷岳縣,市,,2.94701,101.450085
72,Tanjung Sepat,丹绒士拔,Kuala Langat ,瓜拉冷岳縣,市,,2.6653,101.5577
73,Teluk Panglima Garang,直落邦里瑪嘉朗,Kuala Langat ,瓜拉冷岳縣,市,,2.9097,101.4684
74,Pekan Batu,峇都鎮,Kuala Langat ,瓜拉冷岳縣,鎮,,3.1145,101.8136
75,Pekan Bukit Changgang,武吉章崗,Kuala Langat ,瓜拉冷岳縣,鎮,,2.8289,101.6278
76,Jenjarom,仁嘉隆,Kuala Langat ,瓜拉冷岳縣,鎮,1951,2.8758,101.4985
77,Pekan Kanchong,間種,Kuala Langat ,瓜拉冷岳縣,鎮,,,
78,Kanchong Darat,甘中達拉,Kuala Langat ,瓜拉冷岳縣,鎮,,2.7906,101.4853
79,Pekan Kelanang Batu Enam,吉玲瓏,Kuala Langat ,瓜拉冷岳縣,鎮,,2.7996,101.4432
80,Pekan Morib,摩立,Kuala Langat ,瓜拉冷岳縣,鎮,,2.7324,101.468
81,Pekan Permatang Pasir,峇東巴西,Kuala Langat ,瓜拉冷岳縣,鎮,,3.55,103.4
82,Kampung Sijangkang,昔江港,Kuala Langat ,瓜拉冷岳縣,鎮,,2.9459,101.4451
83,Pekan Simpang Morib,新邦摩立,Kuala Langat ,瓜拉冷岳縣,鎮,,2.7855,101.463
84,Pekan Sungai Manggis,雙溪曼尼斯,Kuala Langat ,瓜拉冷岳縣,鎮,,2.8326,101.5487
85,Pekan Sungai Raba,雙溪拉峇,Kuala Langat ,瓜拉冷岳縣,鎮,,2.8192,101.4677
86,Pekan Tanjong Duabelas,丹戎12區,Kuala Langat ,瓜拉冷岳縣,鎮,,2.8388,101.5703
87,Pekan Telok Datok,直落拿督,Kuala Langat ,瓜拉冷岳縣,鎮,,2.819,101.5205
88,Pekan Tongkah,中加區,Kuala Langat ,瓜拉冷岳縣,鎮,,2.7723,101.4528
89,Telok Panglima Garang,直落邦里瑪嘉朗,Kuala Langat ,瓜拉冷岳縣,鎮,,2.9097,101.4684
90,Kuala Selangor,瓜拉雪蘭莪,Kuala Selangor ,瓜拉雪蘭莪縣,市,<1700,3.3402,101.2498
91,Bandar Tanjong Karang,丹戎加弄,Kuala Selangor ,瓜拉雪蘭莪縣,市,,3.487457,101.200247
92,Assam Jawa,亞參爪哇,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.2922,101.2941
93,Bukit Rotan,武吉羅丹,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.3095,101.3171
94,Pekan Jeram,而欖,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.236357,101.357103
95,Kampung Kuantan,甘邦關丹,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.3612,101.3
96,Kuala Sungai Buloh,瓜拉雙溪毛糯,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.27597,101.2969
97,Pekan Pasir Penambang,巴西不南邦,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.354429,101.249932
98,Pekan Simpang Tiga,新邦蒂加,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,,
99,Pekan Tanjong Karang,丹戎加弄,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.424171,101.174337
100,Pekan Bukit Belimbing,武吉柏林明,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.377644,101.2771019
101,Pekan Bukit Talang,武吉達朗,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,,
102,Pekan Kampung Baru Hulu Tiram Buruk,峇東新村,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.418083,101.257292
103,Pekan Parit Maha,巴力馬哈,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,,
104,Pekan Simpang Tiga Ijok,新邦蒂加依約,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.315913,101.417843
105,Pekan Sungai Sembilang,雙溪森美朗,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.20568,101.318326
106,Pekan Taman Pkns,雪蘭莪發展局花園,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.302555,101.592425
107,Pekam Tambak Jawa,大巴爪哇,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,,3.168499,101.317166
108,Bestari Jaya,八丁燕帶,Kuala Selangor ,瓜拉雪蘭莪縣,鎮,<1937,3.378,101.4062
109,Petaling Jaya,八打靈再也,Petaling,八打靈縣,市,,3.138238,101.605215
110,Shah Alam,莎阿南,Petaling,八打靈縣,市,,3.079628,101.518562
111,Mutiara Damansara,珍珠白沙羅,Petaling,八打靈縣,市,2001,3.1606,101.6122
112,Bandar Glenmarie,格林瑪麗,Petaling,八打靈縣,市,,3.08681,101.562673
113,Bandar Petaling Jaya Selatan,八打靈再也南區,Petaling,八打靈縣,市,,,
114,Bandar Saujana,紹嘉那,Petaling,八打靈縣,市,,3.108514,101.5761211
115,Bandar Sri Damansara,斯里白沙羅,Petaling,八打靈縣,市,,3.199732,101.615562
116,Bandar Subang Jaya,梳邦再也,Petaling,八打靈縣,市,,3.047078,101.585901
117,Bandar Sunway,雙威鎮,Petaling,八打靈縣,市,,3.069862,101.60593
118,Batu Tiga,峇都知甲,Petaling,八打靈縣,鎮,,3.077175,101.545609
119,Pekan Merbau Sempak,莫寳申拔,Petaling,八打靈縣,鎮,,3.214912,101.516557
120,Puchong,蒲種,Petaling,八打靈縣,鎮,1900s,3.0327,101.6188
121,Seri Kembangan,沙登,Petaling,八打靈縣,鎮,1950,3.022,101.7055
122,Sungai Buloh,雙溪毛糯,Petaling,八打靈縣,鎮,1930,3.2713,101.298
123,Pekan Sungai Penchala,雙溪本查拉,Petaling,八打靈縣,鎮,,3.164519,101.623589
124,Pekan Cempaka,千百家,Petaling,八打靈縣,鎮,,3.138496,101.753095
125,Pekan Country Height,綠野集團,Petaling,八打靈縣,鎮,,2.995526,101.737915
126,Pekan Desa Puchong,蒲種郊區,Petaling,八打靈縣,鎮,,,
127,Pekan Hicom,多元重工業區,Petaling,八打靈縣,鎮,,,
128,Pekan Kayu Ara,卡尤阿拉,Petaling,八打靈縣,鎮,,3.137251,101.614702
129,Pekan Kinrara,金鑾,Petaling,八打靈縣,鎮,,3.048914,101.65003
130,Pekan Baru Hicom,新多元重工業鎮,Petaling,八打靈縣,鎮,,3.036361,101.5478219
131,Pekan Baru Sungai Besi,新街場新區,Petaling,八打靈縣,鎮,,,
132,Pekan Baru Sungai Buloh,雙溪毛糯新鎮,Petaling,八打靈縣,鎮,,3.210625,101.567742
133,Puchong Jaya,蒲種再也,Petaling,八打靈縣,鎮,,3.054586,101.619958
134,Pekan Penaga,本那牙鎮,Petaling,八打靈縣,鎮,,,
135,Puchong Perdana,蒲種柏蘭嶺,Petaling,八打靈縣,鎮,,3.00545,101.599894
136,Subang,梳邦,Petaling,八打靈縣,鎮,,3.135267,101.542077
137,Subang Jaya,梳邦再也 ,Petaling,八打靈縣,鎮,,3.049478,101.584528
138,Pekan Bagan Terap,峇眼德臘,Sabak Bernam,沙白安南縣,鎮,,3.746667,101.059728
139,Pekan Parit Enam,六條溝,Sabak Bernam,沙白安南縣,鎮,,3.72372,101.004968
140,Pekan Parit Sembilan,九條溝,Sabak Bernam,沙白安南縣,鎮,,,
141,Sekinchan,適耕莊,Sabak Bernam,沙白安南縣,鎮,,3.5041,101.1033
142,Pekan Simpang Lima,新邦利馬,Sabak Bernam,沙白安南縣,鎮,,,
143,Sabak,沙白鎮,Sabak Bernam,沙白安南縣,鎮,,3.7696,100.9837
144,Sungai Air Tawar,雙溪僑華,Sabak Bernam,沙白安南縣,鎮,,3.7756,100.8821
145,Pekan Sungai Sepintas,雙溪瑟賓達,Sabak Bernam,沙白安南縣,鎮,,,
146,Bagan Nakhoda Omar,烏暹,Sabak Bernam,沙白安南縣,鎮,,3.7758405,100.9128995
147,Parit Baru,新溝,Sabak Bernam,沙白安南縣,鎮,,3.827761,100.8512921
148,Pasir Panjang,巴西班讓,Sabak Bernam,沙白安南縣,鎮,,2.437702,101.937694
149,Pekan Sekinchan Site A,適耕莊A村,Sabak Bernam,沙白安南縣,鎮,,3.505749,101.108339
150,Sungai Besar,大港,Sabak Bernam,沙白安南縣,鎮,,3.6754,100.9858
151,Pekan Sungai Haji Dorani,雙溪哈芝杜拉尼,Sabak Bernam,沙白安南縣,鎮,,3.632103,101.035329
152,Pekan Sungai Nibong,雙溪尼蒙,Sabak Bernam,沙白安南縣,鎮,,3.597181,101.064532
153,Pekan Air Manis,阿逸馬尼斯,Sabak Bernam,沙白安南縣,鎮,,,
154,Sepang,雪邦,Sepang,雪邦縣,市,,2.6914,101.7505
155,Bandar Baru Bangi,萬宜新鎮,Sepang,雪邦縣,市,,2.960877,101.75799
156,Bandar Baru Salak Tinggi,沙叻丁宜,Sepang,雪邦縣,市,,2.7968,101.7424
157,KLIA,吉隆坡國際機場,Sepang,雪邦縣,市,,2.755584,101.708061
158,Sungai Merab,雙溪美拉,Sepang,雪邦縣,市,,2.935966,101.75011
159,Cyberjaya,賽城,Sepang,雪邦縣,市,,2.9213,101.6559
160,Dengkil,龍溪,Sepang,雪邦縣,鎮,,2.866483,101.680027
161,Pekan Salak,沙叻新村,Sepang,雪邦縣,鎮,,2.783742,101.75026
162,Sungai Pelek,雙溪比力,Sepang,雪邦縣,鎮,<1910,2.6416,101.7148
163,Pekan Batu 1,雪邦一支港,Sepang,雪邦縣,鎮,,,
164,Pekan Bukit Bisa,,Sepang,雪邦縣,鎮,,2.967523,101.703021
165,Pekan Dato' Bakar Baginda,,Sepang,雪邦縣,鎮,,2.956069,101.73753
166,Pekan Bandar Salak Tinggi,沙叻丁宜,Sepang,雪邦縣,鎮,,2.7968,101.7424
167,Pekan Sungai Merab,雙溪美拉,Sepang,雪邦縣,鎮,,2.935795,101.749766
168,Pekan Tanjung Mas,丹戎馬士,Sepang,雪邦縣,鎮,,,
169,,,Sepang,雪邦縣,,,,
170,Batu Caves ,黑风洞、峇都喼,Sepang,雪邦縣,,1860,3.2379,101.684
171,Broga,武來岸,Sepang,雪邦縣,,1850,2.9367,101.9111
172,Lagong,拉貢,Sepang,雪邦縣,,,3.2585,101.6394
173,Padang JAwa,巴當爪哇,Sepang,雪邦縣,,<1880,3.0491,101.49
174,Sungai Buaya,雪蘭莪雙溪峇也,Sepang,雪邦縣,,,3.3745,101.5327
175,Sungai Burong,雙武隆,Sepang,雪邦縣,,,3.4607,101.1348
176,Sungai Choh,雙溪槽,Sepang,雪邦縣,,,3.3435,101.5874
177,Sungai Pelong,,Sepang,雪邦縣,,1916,3.2268,101.5345
178,Sungai Tengi,,Sepang,雪邦縣,,,3.6476,101.4166
179,Taman Melawati,,Sepang,雪邦縣,,,3.2126,101.7471
180,Taman Tasik Semenyih,,Sepang,雪邦縣,,,2.947,101.865
181,Teluk Datok,,Sepang,雪邦縣,,,2.819,101.5205
182,Ulu Yam,,Sepang,雪邦縣,,,3.425,101.6597
183,Ulu Klang,,Sepang,雪邦縣,,,3.1721,101.7593
